wdigestVersion,g_fParameter_UseLogonCredentialOffset,g_IsCredGuardEnabledOffset
79cb51061584c46aa95903047c53eef0a8e1b22ff2cff7b1ccf2e963a9822984,34d8c,34b88
7f3ca041629525b2dfe55848625f1cf301e1c99fed89420513fa29b908507538,34d8c,34b88
ba16eacd410bd841436bee775bde9c242a805225929c0ff4a8250ff62c31ddd4,34d8c,34b88
598afe83be12754327a2e4c1d9b10b699079c7e0cf10a3c4c77d2f180700f6f5,35114,34b88
c5df7d45cb3d642349f96f45508c05bc4875bd53a80794aaaa4e979b13271451,35114,34b88
e1d3e15d08a9d64f7dff063d117bd7312156940ec9b11357e680a92463d7f33c,35114,34b88
c6a630767a31f96a8c7a6b84213a6bc79cd4dc207df39f5ccb8c75f13647a9e1,35114,34b88
7477ea81955ec69ac950ddcafae6f265da44444e4ae4d843e1886f741658033c,35114,34b88
c11920a69e0b33b22aee4232a950fbc55a565a5a68fd05335a533f3001702ae0,35114,34b88
20d2517e449c4e319e8b3e0a6c68a815fdbd8b1303f8675916244068037c8517,34d8c,34b88
73590a6c9020d8729f0abe43e157e5b7872a38cb26299b1b98f3e8fe3a0698d1,36114,35b88
bf176e9804badcf06fe9e6ba48258ba4a18b021a7d8322243021ce878e4e021a,35114,34b88
1da4f50e03247103950660aeb8965e3686e1649e11016c8701dbc78f65ab4b92,35114,34b88
cf0c4709e4e5f3c68721e99a845c2337ef5ecd41f477dd925f93109329f83cc5,36114,35b88
c5b5d89c293f5b72abb2516576d5d7f0292a3a22e1881abfa7d9f06f04561419,35114,34b88
7d1139407a6ca1eac3403c125de13b83643a7017222b9d4bfa2f4ea00e5ac646,38244,37c08
d3c43aca4f39f0c2edf8ae7cc3cf65bf51d03e45aa204e5129fdf9bd3763e093,38234,37c08
d64f62282c5221e9d1c4aa8e21a6869ec85bdfd5407d12981da60ca9d40eb96b,35114,34b88
93cd41079b2d559d3d24eb0b7f20955211cd5442b2ace8c29959b444ab74ca77,38234,37c08
029b1d68065eb78d0efef0cd3231ea17940383ae231a36d9c6bda1b8effe4d27,428c4,421b8
8fec4fe4f89bce691907eb2de515318330c398c2468ffdbb3f6e424bf9635fa7,428c4,421b8
accc2a60c17b32b5e24d768acfa9471e07b5d2ba521aa675c84913da402a3c81,428c4,421b8
c11fac9f57873ad355a5fc9dfbceba285df3b949097a09d622ac1f640be3a1ed,428c4,421b8
27322be035f6615ff24438a9f7a71fd8042b69e21999551690b2547f83681e77,428c4,421b8
27322be035f6615ff24438a9f7a71fd8042b69e21999551690b2547f83681e77,428c4,421b8
3b8b7c95337f243bf9e83917702f46406c4b449a360663c63519cb935c0c04f3,35124,34b88
4bbbc3f01593be70cbecd459a9d2d8cc16596e3819fa6af7e5accd6b3d3d552d,35124,34b88
9a7e55bfc95c1779761fbc387bffe5aedbbc0aca2d619cbb49e8d0c97ecd27e6,35124,34b88
49677dbaa5d3a487aba83453a7a42f68caeb88a9de2f9a3cab6ee30a52292a83,36124,35b88
2fb7fdc704bebe450f98dce5eaa7bb552e2ffb50c1278eef7dfd5198473e30bc,392b4,38c88
b066d7dab70908feb684691ee4d1da0880755743df26970707481fffe4c4f5ae,3a2e4,39ca8
c79096b198f08165460020b95743805be8edf8ca5356318439b5b0ebfc4f1580,361b4,35c08
5980765d6857ff432000d52537cd9404fb167e651e80b381194c8a3e89d090c3,361b4,35c08
a14479eafeb62bf356e28f81b3d72c07d7e1704046883ac4d08f7f4c43ec3cc9,45a14,452e8
a14479eafeb62bf356e28f81b3d72c07d7e1704046883ac4d08f7f4c43ec3cc9,45a14,452e8
d6aa76d45a712f8dcf6815448637f807bb38566d35d1bb5d675711e03b2942b8,45a24,452e8
a14479eafeb62bf356e28f81b3d72c07d7e1704046883ac4d08f7f4c43ec3cc9,45a14,452e8
bab8cb5acdab6caa1aa7a09ba24436c1ca5d4250d690681c5960ada9b2f0dcee,361b4,35c08
187afdad4783d1d2943363f60a8c844fa2a7efa810495086a9567f8bfd26f8d9,45a24,452e8
8eea6d736e9b70f01d42ced0ef60e9d5001401aba0cc27824296226994dcdeb0,45a14,451d8
f455899d76cd69846586a19575d10b8f7222b6d9244edd240262c3a1242c6a2f,43954,43258
9f7d9acc49b85fa1601aedf172e2e650edfb46ea5d8d8f61e93266373c6f1b85,43964,43148
4a9f4fa31871e0da0af0b4458c8b47e554c9d2843e59f79bca86f31a9bba6595,45a34,451d8
31146ed00aae2f32ce88cb4fb3cc687d724d46053d3988fc7168b39ba5f6288e,3caa4,3cab0
b52051188e71d19089ac276a27186d4a9bc595250655141f80e1c797bfe4eae0,3dbbc,3dbc8
6cb02801aa8018f0f8cc96dc9d0dda28227f50ae36c1acd0f1c963edc3382404,3ebdc,3ebe8
2f5281d2e71a5a585a460554527d77e577c09526aa3174333b2a839a302f9319,4b57c,4b588
da7f6dea8b458ac58b43329cf8e2a03ea0bcfbefedf4a53e24857a2955e16901,4a56c,4a578
19568237ac2c31a2bd921107b50f37ba430970babcbb98d536ffd3d603e0c48a,411ec,411f8
bf736e3dd23edd80a6426f4e46762a9313ad7ad286e3f7afd12e69d081e11fc4,3ec0c,3ec18
88244337173bccf00c16b7d09ffcfeb16c78c3b1af60f3e3a210748c7140d686,4b59c,4b5a8
7ad5f2acd29d9e969520a3449263ce23bcd877371f3a0c7740060a98ae972c5e,3caa4,3cab0
e075f6acc56c9bfb1a05184b600f5d78411b176314940b5ea9276d8ea32d7cb6,4b5ac,4b5b8
88244337173bccf00c16b7d09ffcfeb16c78c3b1af60f3e3a210748c7140d686,4b59c,4b5a8
9b34b4d37629a4e3d304e6320731c128cf0dbc7257d5eca21e3dcc928c7101d6,4b5ac,4b5b8
aa033790e90d5baee633abb07543aabfb3dcdad8dff2779ca089dedb436ddc3f,4a59c,4a5a8
df3e1f276911d23bc4332124502aa54ae8109b30db483a35c8c1dbbc185eb8a3,4b7b4,4b7c0
768a580763cf3beb73669c9f13d69904076454b0691effde5906c599f59f2ba2,421ec,421f8
825ecbb665823b48cd5f083fe19297a33bdd692be32fd7d4eab481a0be932939,4b7dc,4b7e8
e40cc6ddeeda3854649c886987c855c56867089adaf041dc0839c61c47cd7ddd,4b7b4,4b7c0
4b000697b9d519e61cfac0da6cc308ae7be3d66f556678261f409d142cd2dfe0,4b7ac,4b7b8
a7adef7c0f82f3d2dcdcc985790f80f2d06ce30d6b69e1044f66ac7da78445ac,4b7ac,4b7b8
973e6a287a8ee35b372bc232cbb4af198f56a4ff730d42417ab34986f5a01aed,46e70,46e80
b1e8f5bbfd0a23efd13fe978821273b9ff859c6e2d355e13da9d4f22f68d861e,46e70,46e80
737964e45ce9b539a3ab03aaa81bd9d331ed62b02ba25fe985cea84c1ea8727e,46e70,46e80
e4320da134418c7b14ebac7ce927bea14d84cc6b803dd7d70555492fd8f5f21d,46e70,46e80
7a18222506a19b3358f86a33f9ee6b205da272636f6e4aee2015c6c388fc5c1d,46e70,46e80
d09fd490fb40c94fc12397ade8e0d530b846786187619d3136a15842ebf30f38,46e70,46e80
c2deffc71c6fb2b882aa8e7cb71d9ef887af54f024693421959a974a44afb866,47090,470a0
dd2f379febe5f21175b2097e8b90579f8a0dfc795af7c438a09d4106584be2e0,46e70,46e80
03eb71b8b681e84c5ee5de4317c76a469ca7de31d1e9fdd26c7a363f274c7040,47090,470a0
31072ddfb180feb62c0a44d8bcd8ea252c75411ed9cfe7a5cc8bc5becebb44b2,46e70,46e80
